,Estado,Cidade,Vacinados (1 Dose),População vacinada,Imunizados (Dose completas),População imunizada,População restante a vacinar
2475,Minas Gerais,Delfinópolis,421,5.92 %,184,2.59 %,6.693
2476,Minas Gerais,Delta,219,2.08 %,80,0.76 %,10.314
2477,Minas Gerais,Descoberto,547,10.91 %,215,4.29 %,4.466
2478,Minas Gerais,Desterro de Entre Rios,490,6.77 %,210,2.90 %,6.753
2479,Minas Gerais,Desterro do Melo,333,11.48 %,108,3.72 %,2.568
2480,Minas Gerais,Diamantina,3000,6.29 %,1503,3.15 %,44.723
2481,Minas Gerais,Diogo de Vasconcelos,158,4.16 %,61,1.60 %,3.644
2482,Minas Gerais,Dionísio,723,9.35 %,300,3.88 %,7.006
2483,Minas Gerais,Divinésia,284,8.31 %,93,2.72 %,3.133
2484,Minas Gerais,Divino,1326,6.65 %,533,2.67 %,18.605
2485,Minas Gerais,Divino das Laranjeiras,439,8.82 %,141,2.83 %,4.540
2486,Minas Gerais,Divinolândia de Minas,536,7.08 %,153,2.02 %,7.035
2487,Minas Gerais,Divinópolis,11366,4.77 %,4621,1.94 %,226.864
2488,Minas Gerais,Divisa Alegre,311,4.58 %,88,1.30 %,6.475
2489,Minas Gerais,Divisa Nova,472,7.85 %,180,2.99 %,5.539
2490,Minas Gerais,Divisópolis,670,6.08 %,125,1.13 %,10.349
2491,Minas Gerais,Dom Bosco,335,9.11 %,139,3.78 %,3.342
2492,Minas Gerais,Dom Cavati,765,15.08 %,205,4.04 %,4.307
2493,Minas Gerais,Dom Joaquim,565,13.47 %,159,3.79 %,3.630
2494,Minas Gerais,Dom Silvério,157,3.00 %,87,1.66 %,5.080
2495,Minas Gerais,Dom Viçoso,368,12.26 %,105,3.50 %,2.633
2496,Minas Gerais,Dona Eusébia,383,5.83 %,133,2.02 %,6.189
2497,Minas Gerais,Dores de Campos,599,5.90 %,188,1.85 %,9.554
2498,Minas Gerais,Dores de Guanhães,222,4.29 %,70,1.35 %,4.947
2499,Minas Gerais,Dores do Indaiá,924,6.85 %,256,1.90 %,12.559
2500,Minas Gerais,Dores do Turvo,296,6.95 %,134,3.15 %,3.963
2501,Minas Gerais,Doresópolis,172,11.26 %,58,3.80 %,1.355
2502,Minas Gerais,Douradoquara,233,12.21 %,77,4.04 %,1.675
2503,Minas Gerais,Durandé,35,0.45 %,38,0.48 %,7.806
2504,Minas Gerais,Elói Mendes,1385,4.93 %,407,1.45 %,26.691
2505,Minas Gerais,Engenheiro Caldas,863,7.75 %,190,1.71 %,10.271
2506,Minas Gerais,Engenheiro Navarro,397,5.48 %,63,0.87 %,6.845
2507,Minas Gerais,Entre Folhas,521,9.70 %,131,2.44 %,4.849
2508,Minas Gerais,Entre Rios de Minas,1096,7.16 %,371,2.43 %,14.202
2509,Minas Gerais,Ervália,1357,7.18 %,469,2.48 %,17.538
2510,Minas Gerais,Esmeraldas,2276,3.23 %,654,0.93 %,68.276
2511,Minas Gerais,Espera Feliz,1459,5.85 %,280,1.12 %,23.492
2512,Minas Gerais,Espinosa,3,0.01 %,0,0.00 %,31.614
2513,Minas Gerais,Espírito Santo do Dourado,354,7.54 %,99,2.11 %,4.338
2514,Minas Gerais,Estiva,497,4.38 %,154,1.36 %,10.857
2515,Minas Gerais,Estrela Dalva,194,8.28 %,103,4.40 %,2.149
2516,Minas Gerais,Estrela do Indaiá,339,9.69 %,81,2.31 %,3.161
2517,Minas Gerais,Estrela do Sul,405,5.08 %,118,1.48 %,7.573
2518,Minas Gerais,Eugenópolis,752,6.67 %,265,2.35 %,10.523
2519,Minas Gerais,Ewbank da Câmara,266,6.80 %,74,1.89 %,3.647
2520,Minas Gerais,Extrema,1298,3.58 %,505,1.39 %,34.927
2521,Minas Gerais,Fama,266,11.19 %,51,2.15 %,2.111
2522,Minas Gerais,Faria Lemos,325,10.03 %,84,2.59 %,2.916
2523,Minas Gerais,Felício dos Santos,601,12.64 %,120,2.52 %,4.152
2524,Minas Gerais,São Gonçalo do Rio Preto,357,11.27 %,120,3.79 %,2.810
2525,Minas Gerais,Felisburgo,456,6.12 %,157,2.11 %,7.001
2526,Minas Gerais,Felixlândia,966,6.30 %,315,2.05 %,14.370
2527,Minas Gerais,Fernandes Tourinho,353,10.29 %,83,2.42 %,3.078
2528,Minas Gerais,Ferros,942,9.59 %,364,3.71 %,8.878
2529,Minas Gerais,Fervedouro,96,0.87 %,19,0.17 %,10.910
2530,Minas Gerais,Florestal,529,7.09 %,235,3.15 %,6.932
2531,Minas Gerais,Formiga,1328,1.96 %,910,1.34 %,66.355
2532,Minas Gerais,Formoso,409,4.28 %,104,1.09 %,9.153
2533,Minas Gerais,Fortaleza de Minas,396,8.98 %,130,2.95 %,4.016
2534,Minas Gerais,Fortuna de Minas,318,10.79 %,106,3.60 %,2.629
2535,Minas Gerais,Francisco Badaró,827,8.00 %,181,1.75 %,9.505
2536,Minas Gerais,Francisco Dumont,362,6.94 %,96,1.84 %,4.853
2537,Minas Gerais,Francisco Sá,948,3.61 %,249,0.95 %,25.329
2538,Minas Gerais,Franciscópolis,411,7.62 %,114,2.11 %,4.980
2539,Minas Gerais,Frei Gaspar,227,3.86 %,74,1.26 %,5.653
2540,Minas Gerais,Frei Inocêncio,601,6.25 %,144,1.50 %,9.010
2541,Minas Gerais,Frei Lagonegro,315,9.06 %,67,1.93 %,3.163
2542,Minas Gerais,Fronteira,775,4.28 %,225,1.24 %,17.328
2543,Minas Gerais,Fronteira dos Vales,413,9.02 %,110,2.40 %,4.168
2544,Minas Gerais,Fruta de Leite,470,8.75 %,164,3.05 %,4.899
2545,Minas Gerais,Frutal,3098,5.21 %,1153,1.94 %,56.398
2546,Minas Gerais,Funilândia,349,8.02 %,75,1.72 %,4.000
2547,Minas Gerais,Galiléia,313,4.59 %,69,1.01 %,6.504
2548,Minas Gerais,Gameleiras,345,6.75 %,71,1.39 %,4.764
2549,Minas Gerais,Glaucilândia,310,9.84 %,88,2.79 %,2.840
2550,Minas Gerais,Goiabeira,276,8.23 %,53,1.58 %,3.077
2551,Minas Gerais,Goianá,317,7.99 %,80,2.02 %,3.649
2552,Minas Gerais,Gonçalves,323,7.43 %,75,1.72 %,4.027
2553,Minas Gerais,Gonzaga,273,4.43 %,82,1.33 %,5.885
2554,Minas Gerais,Gouveia,416,3.52 %,116,0.98 %,11.409
2555,Minas Gerais,Governador Valadares,14799,5.29 %,3948,1.41 %,265.086
2556,Minas Gerais,Grão Mogol,876,5.53 %,267,1.69 %,14.960
2557,Minas Gerais,Grupiara,219,15.78 %,70,5.04 %,1.169
2558,Minas Gerais,Guanhães,2099,6.12 %,674,1.96 %,32.220
2559,Minas Gerais,Guapé,1012,7.10 %,459,3.22 %,13.233
2560,Minas Gerais,Guaraciaba,1218,11.80 %,353,3.42 %,9.106
2561,Minas Gerais,Guaraciama,335,6.74 %,97,1.95 %,4.637
2562,Minas Gerais,Guaranésia,1632,8.58 %,400,2.10 %,17.389
2563,Minas Gerais,Guarani,516,5.79 %,211,2.37 %,8.395
2564,Minas Gerais,Guarará,485,12.78 %,120,3.16 %,3.311
2565,Minas Gerais,Guarda-Mor,1347,20.47 %,170,2.58 %,5.233
2566,Minas Gerais,Guaxupé,2914,5.61 %,1083,2.09 %,49.003
2567,Minas Gerais,Guidoval,477,6.74 %,133,1.88 %,6.601
2568,Minas Gerais,Guimarânia,700,8.71 %,217,2.70 %,7.339
2569,Minas Gerais,Guiricema,549,6.54 %,187,2.23 %,7.843
2570,Minas Gerais,Gurinhatã,612,10.85 %,191,3.39 %,5.027
2571,Minas Gerais,Heliodora,642,9.79 %,186,2.84 %,5.916
2572,Minas Gerais,Iapu,737,6.70 %,295,2.68 %,10.267
2573,Minas Gerais,Ibertioga,286,5.70 %,141,2.81 %,4.735
2574,Minas Gerais,Ibiá,1114,4.42 %,466,1.85 %,24.085
2575,Minas Gerais,Ibiaí,279,3.32 %,57,0.68 %,8.116
2576,Minas Gerais,Ibiracatu,321,5.94 %,43,0.80 %,5.079
2577,Minas Gerais,Ibiraci,708,5.12 %,309,2.23 %,13.120
2578,Minas Gerais,Ibirité,8382,4.65 %,2637,1.46 %,171.822
2579,Minas Gerais,Ibitiúra de Minas,164,4.70 %,49,1.40 %,3.324
2580,Minas Gerais,Ibituruna,313,10.47 %,70,2.34 %,2.676
2581,Minas Gerais,Icaraí de Minas,568,4.74 %,133,1.11 %,11.422
2582,Minas Gerais,Igarapé,2017,4.69 %,663,1.54 %,41.028
2583,Minas Gerais,Igaratinga,631,5.81 %,184,1.69 %,10.229
2584,Minas Gerais,Iguatama,485,6.10 %,161,2.03 %,7.462
2585,Minas Gerais,Ijaci,498,7.60 %,102,1.56 %,6.052
2586,Minas Gerais,Ilicínea,611,4.94 %,186,1.50 %,11.764
2587,Minas Gerais,Imbé de Minas,173,2.51 %,36,0.52 %,6.730
2588,Minas Gerais,Inconfidentes,336,4.59 %,103,1.41 %,6.992
2589,Minas Gerais,Indaiabira,372,5.06 %,83,1.13 %,6.979
2590,Minas Gerais,Indianópolis,401,5.82 %,130,1.89 %,6.490
2591,Minas Gerais,Ingaí,190,6.87 %,85,3.07 %,2.577
2592,Minas Gerais,Inhapim,1365,5.65 %,320,1.33 %,22.775
2593,Minas Gerais,Inhaúma,289,4.61 %,97,1.55 %,5.982
2594,Minas Gerais,Inimutaba,528,7.03 %,181,2.41 %,6.987
2595,Minas Gerais,Ipaba,634,3.41 %,171,0.92 %,17.973
2596,Minas Gerais,Ipanema,1472,7.41 %,280,1.41 %,18.389
2597,Minas Gerais,Ipatinga,10681,4.05 %,2122,0.81 %,252.729
2598,Minas Gerais,Ipiaçu,512,12.13 %,216,5.12 %,3.709
2599,Minas Gerais,Ipuiúna,176,1.75 %,179,1.78 %,9.903
2600,Minas Gerais,Iraí de Minas,495,7.08 %,149,2.13 %,6.492
2601,Minas Gerais,Itabira,4465,3.72 %,1430,1.19 %,115.595
2602,Minas Gerais,Itabirinha,764,6.64 %,236,2.05 %,10.748
2603,Minas Gerais,Itabirito,3360,6.48 %,980,1.89 %,48.515
2604,Minas Gerais,Itacambira,293,5.44 %,96,1.78 %,5.092
2605,Minas Gerais,Itacarambi,694,3.82 %,143,0.79 %,17.459
2606,Minas Gerais,Itaguara,968,7.25 %,333,2.49 %,12.390
2607,Minas Gerais,Itaipé,471,3.69 %,182,1.43 %,12.289
2608,Minas Gerais,Itajubá,7319,7.56 %,2690,2.78 %,89.550
2609,Minas Gerais,Itamarandiba,1638,4.72 %,472,1.36 %,33.097
2610,Minas Gerais,Itamarati de Minas,333,7.65 %,69,1.58 %,4.022
2611,Minas Gerais,Itambacuri,1058,4.56 %,422,1.82 %,22.153
2612,Minas Gerais,Itambé do Mato Dentro,174,8.36 %,83,3.99 %,1.907
2613,Minas Gerais,Itamogi,696,6.83 %,327,3.21 %,9.496
2614,Minas Gerais,Itamonte,481,3.09 %,181,1.16 %,15.098
2615,Minas Gerais,Itanhandu,1087,7.09 %,551,3.59 %,14.244
2616,Minas Gerais,Itanhomi,1111,9.09 %,316,2.58 %,11.117
2617,Minas Gerais,Itaobim,1356,6.44 %,443,2.10 %,19.706
2618,Minas Gerais,Itapagipe,970,6.36 %,196,1.29 %,14.273
2619,Minas Gerais,Itapecerica,2027,9.31 %,553,2.54 %,19.735
2620,Minas Gerais,Itapeva,528,5.40 %,107,1.09 %,9.255
2621,Minas Gerais,Itatiaiuçu,153,1.37 %,54,0.48 %,10.993
2622,Minas Gerais,Itaú de Minas,1170,7.26 %,460,2.86 %,14.938
2623,Minas Gerais,Itaúna,3872,4.15 %,1185,1.27 %,89.342
2624,Minas Gerais,Itaverava,363,6.70 %,98,1.81 %,5.056
2625,Minas Gerais,Itinga,918,6.12 %,200,1.33 %,14.072
2626,Minas Gerais,Itueta,385,6.36 %,59,0.98 %,5.666
2627,Minas Gerais,Ituiutaba,1344,1.28 %,503,0.48 %,103.327
2628,Minas Gerais,Itumirim,51,0.85 %,78,1.30 %,5.972
2629,Minas Gerais,Iturama,2575,6.56 %,624,1.59 %,36.688
2630,Minas Gerais,Itutinga,214,5.65 %,72,1.90 %,3.574
2631,Minas Gerais,Jaboticatubas,1307,6.49 %,292,1.45 %,18.836
2632,Minas Gerais,Jacinto,974,7.90 %,244,1.98 %,11.352
2633,Minas Gerais,Jacuí,735,9.56 %,287,3.73 %,6.951
2634,Minas Gerais,Jacutinga,929,3.58 %,441,1.70 %,25.050
2635,Minas Gerais,Jaguaraçu,229,7.31 %,52,1.66 %,2.904
2636,Minas Gerais,Jaíba,640,1.64 %,253,0.65 %,38.269
2637,Minas Gerais,Jampruca,320,5.92 %,108,2.00 %,5.084
2638,Minas Gerais,Janaúba,2056,2.87 %,561,0.78 %,69.592
2639,Minas Gerais,Januária,831,1.23 %,228,0.34 %,66.911
2640,Minas Gerais,Japaraíba,218,5.01 %,71,1.63 %,4.132
2641,Minas Gerais,Japonvar,429,5.38 %,123,1.54 %,7.540
2642,Minas Gerais,Jeceaba,419,8.53 %,133,2.71 %,4.493
2643,Minas Gerais,Jenipapo de Minas,318,4.13 %,118,1.53 %,7.374
2644,Minas Gerais,Jequeri,886,7.15 %,243,1.96 %,11.500
2645,Minas Gerais,Jequitaí,437,5.80 %,138,1.83 %,7.094
2646,Minas Gerais,Jequitibá,489,9.38 %,174,3.34 %,4.722
2647,Minas Gerais,Jequitinhonha,1840,7.25 %,483,1.90 %,23.551
2648,Minas Gerais,Jesuânia,398,8.31 %,150,3.13 %,4.389
2649,Minas Gerais,Joaíma,1145,7.42 %,206,1.33 %,14.287
2650,Minas Gerais,Joanésia,615,13.45 %,173,3.78 %,3.958
2651,Minas Gerais,João Monlevade,5492,6.87 %,2117,2.65 %,74.418
2652,Minas Gerais,João Pinheiro,3397,7.16 %,731,1.54 %,44.055
2653,Minas Gerais,Joaquim Felício,276,5.88 %,98,2.09 %,4.419
2654,Minas Gerais,Jordânia,908,8.40 %,141,1.30 %,9.904
2655,Minas Gerais,José Gonçalves de Minas,171,3.80 %,56,1.24 %,4.330
2656,Minas Gerais,José Raydan,368,7.37 %,127,2.54 %,4.627
2657,Minas Gerais,Josenópolis,109,2.24 %,27,0.55 %,4.758
2658,Minas Gerais,Nova União,508,8.87 %,152,2.66 %,5.217
2659,Minas Gerais,Juatuba,937,3.48 %,297,1.10 %,26.009
2660,Minas Gerais,Juiz de Fora,262,0.05 %,59,0.01 %,568.611
2661,Minas Gerais,Juramento,228,5.26 %,80,1.85 %,4.103
2662,Minas Gerais,Juruaia,606,5.74 %,234,2.22 %,9.957
2663,Minas Gerais,Juvenília,324,5.66 %,103,1.80 %,5.400
2664,Minas Gerais,Ladainha,1254,6.92 %,528,2.92 %,16.857
2665,Minas Gerais,Lagamar,749,9.84 %,204,2.68 %,6.864
2666,Minas Gerais,Lagoa da Prata,3069,5.88 %,1141,2.19 %,49.096
2667,Minas Gerais,Lagoa dos Patos,240,5.85 %,86,2.10 %,3.862
2668,Minas Gerais,Lagoa Dourada,626,4.81 %,167,1.28 %,12.383
2669,Minas Gerais,Lagoa Formosa,2212,12.25 %,903,5.00 %,15.840
2670,Minas Gerais,Lagoa Grande,599,6.28 %,165,1.73 %,8.933
2671,Minas Gerais,Lagoa Santa,3968,6.15 %,1763,2.73 %,60.559
2672,Minas Gerais,Lajinha,1239,6.22 %,312,1.57 %,18.684
2673,Minas Gerais,Lambari,1221,5.87 %,303,1.46 %,19.593
2674,Minas Gerais,Lamim,226,6.66 %,82,2.42 %,3.165
2675,Minas Gerais,Laranjal,511,7.50 %,174,2.56 %,6.299
2676,Minas Gerais,Lassance,348,5.34 %,194,2.98 %,6.164
2677,Minas Gerais,Lavras,3968,3.82 %,2683,2.59 %,99.805
2678,Minas Gerais,Leandro Ferreira,165,5.11 %,45,1.39 %,3.064
2679,Minas Gerais,Leme do Prado,272,5.53 %,95,1.93 %,4.646
2680,Minas Gerais,Leopoldina,3509,6.67 %,1206,2.29 %,49.078
2681,Minas Gerais,Liberdade,404,7.97 %,112,2.21 %,4.665
2682,Minas Gerais,Lima Duarte,1316,7.88 %,445,2.66 %,15.382
2683,Minas Gerais,Limeira do Oeste,422,5.60 %,172,2.28 %,7.114
2684,Minas Gerais,Lontra,655,6.78 %,118,1.22 %,9.006
2685,Minas Gerais,Luisburgo,380,6.06 %,63,1.01 %,5.886
2686,Minas Gerais,Luislândia,287,4.28 %,94,1.40 %,6.412
2687,Minas Gerais,Luminárias,302,5.55 %,88,1.62 %,5.144
2688,Minas Gerais,Luz,1120,6.15 %,339,1.86 %,17.095
2689,Minas Gerais,Machacalis,532,7.48 %,184,2.59 %,6.579
2690,Minas Gerais,Machado,2877,6.83 %,795,1.89 %,39.256
2691,Minas Gerais,Madre de Deus de Minas,415,8.14 %,112,2.20 %,4.683
2692,Minas Gerais,Malacacheta,624,3.35 %,274,1.47 %,18.026
2693,Minas Gerais,Mamonas,467,7.14 %,66,1.01 %,6.076
2694,Minas Gerais,Manga,1332,7.24 %,337,1.83 %,17.075
2695,Minas Gerais,Manhuaçu,4997,5.54 %,1621,1.80 %,85.232
2696,Minas Gerais,Manhumirim,1727,7.61 %,586,2.58 %,20.980
2697,Minas Gerais,Mantena,1871,6.77 %,670,2.42 %,25.773
2698,Minas Gerais,Maravilhas,302,3.79 %,118,1.48 %,7.674
2699,Minas Gerais,Mar de Espanha,1001,7.81 %,228,1.78 %,11.813
2700,Minas Gerais,Maria da Fé,910,6.46 %,401,2.84 %,13.185
2701,Minas Gerais,Mariana,3831,6.31 %,1351,2.22 %,56.893
2702,Minas Gerais,Marilac,294,7.14 %,92,2.24 %,3.821
2703,Minas Gerais,Mário Campos,737,4.78 %,137,0.89 %,14.679
2704,Minas Gerais,Maripá de Minas,246,8.27 %,80,2.69 %,2.727
2705,Minas Gerais,Marliéria,392,9.71 %,78,1.93 %,3.647
2706,Minas Gerais,Marmelópolis,278,10.09 %,70,2.54 %,2.477
2707,Minas Gerais,Martinho Campos,1099,8.21 %,329,2.46 %,12.289
2708,Minas Gerais,Martins Soares,490,5.82 %,141,1.68 %,7.927
2709,Minas Gerais,Mata Verde,647,7.54 %,127,1.48 %,7.939
2710,Minas Gerais,Materlândia,354,7.94 %,99,2.22 %,4.105
2711,Minas Gerais,Mateus Leme,2571,8.27 %,577,1.86 %,28.515
2712,Minas Gerais,Matias Barbosa,520,3.59 %,127,0.88 %,13.948
2713,Minas Gerais,Matias Cardoso,247,2.21 %,101,0.91 %,10.910
2714,Minas Gerais,Matipó,519,2.74 %,154,0.81 %,18.389
2715,Minas Gerais,Mato Verde,911,7.31 %,210,1.69 %,11.548
2716,Minas Gerais,Matozinhos,1442,3.81 %,482,1.27 %,36.378
2717,Minas Gerais,Matutina,1022,27.26 %,680,18.14 %,2.727
2718,Minas Gerais,Medeiros,219,5.76 %,78,2.05 %,3.583
2719,Minas Gerais,Medina,1760,8.45 %,591,2.84 %,19.060
2720,Minas Gerais,Mendes Pimentel,676,10.49 %,168,2.61 %,5.770
2721,Minas Gerais,Mercês,727,6.77 %,248,2.31 %,10.012
2722,Minas Gerais,Mesquita,347,6.19 %,91,1.62 %,5.258
2723,Minas Gerais,Minas Novas,1179,3.74 %,372,1.18 %,30.305
2724,Minas Gerais,Minduri,6,0.15 %,6,0.15 %,3.888
2725,Minas Gerais,Mirabela,940,6.92 %,217,1.60 %,12.649
2726,Minas Gerais,Miradouro,458,4.26 %,179,1.66 %,10.296
2727,Minas Gerais,Miraí,853,5.68 %,167,1.11 %,14.161
2728,Minas Gerais,Miravânia,252,5.16 %,67,1.37 %,4.636
2729,Minas Gerais,Moeda,387,7.87 %,106,2.15 %,4.532
2730,Minas Gerais,Moema,474,6.31 %,124,1.65 %,7.043
2731,Minas Gerais,Monjolos,243,10.95 %,53,2.39 %,1.977
2732,Minas Gerais,Monsenhor Paulo,289,3.33 %,133,1.53 %,8.399
2733,Minas Gerais,Montalvânia,1022,6.87 %,287,1.93 %,13.855
2734,Minas Gerais,Monte Alegre de Minas,1944,9.20 %,386,1.83 %,19.176
2735,Minas Gerais,Monte Azul,1222,5.86 %,368,1.76 %,19.632
2736,Minas Gerais,Monte Belo,1073,8.15 %,364,2.76 %,12.093
2737,Minas Gerais,Monte Carmelo,3414,7.14 %,912,1.91 %,44.395
2738,Minas Gerais,Monte Formoso,301,6.14 %,74,1.51 %,4.605
2739,Minas Gerais,Monte Santo de Minas,1127,5.24 %,386,1.79 %,20.397
2740,Minas Gerais,Montes Claros,26087,6.37 %,8304,2.03 %,383.254
2741,Minas Gerais,Monte Sião,729,3.06 %,219,0.92 %,23.074
2742,Minas Gerais,Montezuma,326,3.95 %,93,1.13 %,7.923
2743,Minas Gerais,Morada Nova de Minas,585,6.60 %,191,2.16 %,8.278
2744,Minas Gerais,Morro da Garça,219,8.90 %,40,1.62 %,2.243
2745,Minas Gerais,Morro do Pilar,286,8.99 %,85,2.67 %,2.896
2746,Minas Gerais,Munhoz,470,7.80 %,77,1.28 %,5.559
2747,Minas Gerais,Muriaé,7595,6.98 %,4251,3.91 %,101.168
2748,Minas Gerais,Mutum,1783,6.61 %,408,1.51 %,25.196
2749,Minas Gerais,Muzambinho,1296,6.30 %,414,2.01 %,19.273
2750,Minas Gerais,Nacip Raydan,208,6.46 %,75,2.33 %,3.012
2751,Minas Gerais,Nanuque,1748,4.29 %,613,1.50 %,39.002
2752,Minas Gerais,Naque,361,5.16 %,108,1.54 %,6.635
2753,Minas Gerais,Natalândia,270,8.15 %,79,2.39 %,3.041
2754,Minas Gerais,Natércia,563,11.90 %,267,5.64 %,4.167
2755,Minas Gerais,Nazareno,569,6.61 %,139,1.61 %,8.039
2756,Minas Gerais,Nepomuceno,1723,6.44 %,549,2.05 %,25.046
2757,Minas Gerais,Ninheira,446,4.33 %,97,0.94 %,9.849
2758,Minas Gerais,Nova Belém,192,6.02 %,73,2.29 %,2.998
2759,Minas Gerais,Nova Era,1390,7.91 %,509,2.90 %,16.188
2760,Minas Gerais,Nova Lima,8081,8.52 %,4059,4.28 %,86.808
2761,Minas Gerais,Nova Módica,350,9.72 %,146,4.06 %,3.250
2762,Minas Gerais,Nova Ponte,592,3.81 %,232,1.49 %,14.953
2763,Minas Gerais,Nova Porteirinha,421,5.61 %,76,1.01 %,7.079
2764,Minas Gerais,Nova Resende,719,4.30 %,305,1.82 %,16.004
2765,Minas Gerais,Nova Serrana,1696,1.65 %,530,0.52 %,100.997
2766,Minas Gerais,Novo Cruzeiro,238,0.76 %,191,0.61 %,31.093
2767,Minas Gerais,Novo Oriente de Minas,307,2.85 %,149,1.39 %,10.448
2768,Minas Gerais,Novorizonte,366,6.91 %,69,1.30 %,4.933
2769,Minas Gerais,Olaria,247,14.14 %,51,2.92 %,1.500
2770,Minas Gerais,Olhos-d'Água,286,4.69 %,71,1.16 %,5.810
2771,Minas Gerais,Olímpio Noronha,211,7.57 %,46,1.65 %,2.576
2772,Minas Gerais,Oliveira,3442,8.26 %,1156,2.77 %,38.245
2773,Minas Gerais,Oliveira Fortes,214,10.03 %,53,2.48 %,1.919
2774,Minas Gerais,Onça de Pitangui,212,6.73 %,49,1.56 %,2.936
2775,Minas Gerais,Oratórios,460,9.88 %,101,2.17 %,4.195
2776,Minas Gerais,Orizânia,441,5.50 %,127,1.58 %,7.577
2777,Minas Gerais,Ouro Branco,1112,2.82 %,456,1.15 %,38.388
2778,Minas Gerais,Ouro Fino,2395,7.12 %,708,2.10 %,31.244
2779,Minas Gerais,Ouro Preto,3271,4.40 %,1751,2.36 %,71.010
2780,Minas Gerais,Ouro Verde de Minas,371,6.25 %,107,1.80 %,5.563
2781,Minas Gerais,Padre Carvalho,262,4.11 %,89,1.40 %,6.116
2782,Minas Gerais,Padre Paraíso,1326,6.58 %,380,1.89 %,18.828
2783,Minas Gerais,Paineiras,399,8.89 %,97,2.16 %,4.087
2784,Minas Gerais,Pains,1127,13.61 %,381,4.60 %,7.156
2785,Minas Gerais,Pai Pedro,324,5.32 %,86,1.41 %,5.765
2786,Minas Gerais,Paiva,154,10.07 %,41,2.68 %,1.375
2787,Minas Gerais,Palma,553,8.36 %,204,3.08 %,6.063
2788,Minas Gerais,Palmópolis,534,9.70 %,122,2.22 %,4.973
2789,Minas Gerais,Papagaios,546,3.48 %,194,1.24 %,15.128
2790,Minas Gerais,Paracatu,3136,3.37 %,1384,1.49 %,90.022
2791,Minas Gerais,Pará de Minas,4907,5.22 %,1871,1.99 %,89.062
2792,Minas Gerais,Paraguaçu,1397,6.49 %,369,1.72 %,20.116
2793,Minas Gerais,Paraisópolis,665,3.15 %,312,1.48 %,20.418
2794,Minas Gerais,Paraopeba,1225,4.99 %,421,1.72 %,23.315
2795,Minas Gerais,Passabém,263,15.95 %,63,3.82 %,1.386
2796,Minas Gerais,Passa Quatro,899,5.50 %,239,1.46 %,15.445
2797,Minas Gerais,Passa Tempo,455,5.63 %,161,1.99 %,7.629
2798,Minas Gerais,Passa-Vinte,246,12.06 %,71,3.48 %,1.793
2799,Minas Gerais,Passos,5567,4.85 %,2089,1.82 %,109.112
2800,Minas Gerais,Patis,231,3.87 %,67,1.12 %,5.741
2801,Minas Gerais,Patos de Minas,11778,7.72 %,4472,2.93 %,140.710
2802,Minas Gerais,Patrocínio,6876,7.58 %,2229,2.46 %,83.881
2803,Minas Gerais,Patrocínio do Muriaé,349,6.14 %,105,1.85 %,5.335
2804,Minas Gerais,Paula Cândido,706,7.38 %,186,1.94 %,8.865
2805,Minas Gerais,Paulistas,556,11.51 %,157,3.25 %,4.274
2806,Minas Gerais,Pavão,321,3.80 %,121,1.43 %,8.129
2807,Minas Gerais,Peçanha,1252,7.14 %,414,2.36 %,16.289
2808,Minas Gerais,Pedra Azul,1350,5.55 %,455,1.87 %,22.974
2809,Minas Gerais,Pedra Bonita,305,4.30 %,59,0.83 %,6.792
2810,Minas Gerais,Pedra do Anta,434,14.22 %,116,3.80 %,2.618
2811,Minas Gerais,Pedra do Indaiá,238,5.99 %,92,2.32 %,3.734
2812,Minas Gerais,Pedra Dourada,19,0.76 %,18,0.72 %,2.485
2813,Minas Gerais,Pedralva,946,8.45 %,291,2.60 %,10.249
2814,Minas Gerais,Pedras de Maria da Cruz,453,3.74 %,193,1.59 %,11.654
2815,Minas Gerais,Pedrinópolis,264,7.26 %,130,3.58 %,3.371
2816,Minas Gerais,Pedro Leopoldo,2243,3.49 %,924,1.44 %,62.015
2817,Minas Gerais,Pedro Teixeira,156,8.63 %,63,3.49 %,1.651
2818,Minas Gerais,Pequeri,176,5.30 %,22,0.66 %,3.144
2819,Minas Gerais,Pequi,436,9.90 %,158,3.59 %,3.970
2820,Minas Gerais,Perdigão,236,2.05 %,103,0.90 %,11.270
2821,Minas Gerais,Perdizes,532,3.29 %,201,1.24 %,15.636
2822,Minas Gerais,Perdões,1285,6.01 %,328,1.53 %,20.105
2823,Minas Gerais,Periquito,396,5.81 %,107,1.57 %,6.414
2824,Minas Gerais,Pescador,521,12.25 %,197,4.63 %,3.731
2825,Minas Gerais,Piau,350,12.74 %,102,3.71 %,2.398
2826,Minas Gerais,Piedade de Caratinga,298,3.48 %,83,0.97 %,8.268
2827,Minas Gerais,Piedade de Ponte Nova,521,12.58 %,198,4.78 %,3.619
2828,Minas Gerais,Piedade do Rio Grande,372,8.27 %,99,2.20 %,4.125
2829,Minas Gerais,Piedade dos Gerais,505,10.14 %,181,3.63 %,4.477
2830,Minas Gerais,Pimenta,420,4.85 %,190,2.19 %,8.240
2831,Minas Gerais,Pingo-d'Água,228,4.61 %,62,1.25 %,4.713
2832,Minas Gerais,Pintópolis,452,6.02 %,64,0.85 %,7.055
2833,Minas Gerais,Piracema,462,7.21 %,180,2.81 %,5.947
2834,Minas Gerais,Pirajuba,287,4.63 %,83,1.34 %,5.912
